production,number_of_movies,domestic_revenue,total_revenue
Trompo Studios,1,"4,165,949","14,141,504"
Samwilla,1,"4,151,836","4,151,836"
Shaler Entertainment,1,"4,151,836","4,151,836"
Northwest Productions,1,"4,104,962","4,104,962"
Segue Productions,1,"4,100,000","4,100,000"
Pine District,1,"4,067,398","11,262,769"
74850,1,"4,046,429","9,037,427"
Ocean Park Entertainment,1,"4,046,429","9,037,427"
Deux Chevaux,1,"4,011,530","7,528,826"
Katsize Films,1,"4,011,530","7,528,826"
Confield Pictures,1,"3,965,090","12,913,491"
Xofa Productions,1,"3,958,546","25,187,026"
Soficinema 6,1,"3,954,651","46,263,525"
Texon Entertainment,1,"3,950,294","5,295,909"
JJ Pictures,1,"3,909,149","15,313,631"
Film United,1,"3,902,185","11,096,020"
The Steve Tisch Company,1,"3,897,569","28,356,188"
IFC Productions,1,"3,885,134","9,615,464"
North End Films,1,"3,827,261","4,604,687"
Portobello Pictures,1,"3,827,060","15,298,355"
Dolphins Films,1,"3,818,664","4,563,080"
Asymmetrical Productions,1,"3,796,699","3,825,046"
La Trini,1,"3,740,823","46,414,530"
A Monster Calls AIE,1,"3,740,823","46,414,530"
Chengdu Coco Cartoon,1,"3,695,533","725,109,133"
Hat Tip Films,1,"3,679,893","3,679,893"
Windsor Media,1,"3,652,206","3,871,448"
Robson Orr Entertainment,1,"3,652,206","3,871,448"
Fiore Group,1,"3,652,206","3,871,448"
Travieso Productions,1,"3,618,912","3,701,281"
Chunchu Media,1,"3,600,146","3,697,729"
Oddball,1,"3,600,146","3,697,729"
Tianmu Investments,1,"3,600,146","3,697,729"
Second Stix Films,1,"3,591,299","6,591,365"
Archery Pictures,1,"3,500,605","7,719,630"
New Century Entertainment,1,"3,500,000","3,500,000"
Alliance Entertainment,1,"3,500,000","3,500,000"
Sons of Manuel,1,"3,498,695","17,536,004"
Varsity Pictures,1,"3,491,669","4,128,828"
Where We Live,1,"3,483,795","3,483,795"
Braven Films,1,"3,480,702","7,195,105"
LC6 Productions,1,"3,480,702","7,195,105"
Shadows,1,"3,469,224","8,481,356"
Omeira Studio Partners,1,"3,448,256","3,988,612"
Turnlet Films,1,"3,444,895","4,351,988"
National Film Trustee Company,1,"3,427,696","5,028,948"
Python (Monty) Pictures,1,"3,427,696","5,028,948"
Global Pictures Media,1,"3,424,744","4,434,723"
51 Millimeter,1,"3,424,454","3,424,454"
Footage Films,1,"3,424,454","3,424,454"
Blackened,1,"3,419,967","9,082,906"
BFB Entertainment,1,"3,401,155","3,635,525"
Godfrey Entertainment,1,"3,377,000","4,182,062"
Wasserman Media Group,1,"3,377,000","4,182,062"
Slaterhouse Five,1,"3,355,266","3,355,266"
Fellers Film,1,"3,346,264","14,905,469"
Chimera Films,1,"3,337,194","16,875,968"
Spondoolie,1,"3,322,127","3,485,383"
Paranoid Pictures,1,"3,291,250","7,132,689"
Antena 3 TV,1,"3,247,816","38,535,748"
Cosmo Films,1,"3,237,118","12,657,072"
Distressed Films,1,"3,237,118","12,657,072"
Zeyue Media,1,"3,229,457","554,516,671"
Alpha Pictures Investment Co.,1,"3,229,457","554,516,671"
xxxKxx,1,"3,229,457","554,516,671"
Zenith Culture Broadcast,1,"3,229,457","554,516,671"
Kissiki Film,1,"3,168,664","5,631,241"
Tempus Film,1,"3,166,858","6,223,031"
Top Drawer Entertainment,1,"3,143,056","13,119,947"
Busboy,1,"3,128,941","3,185,717"
Corner Contenidos,1,"3,107,072","26,994,272"
Tag Entertainment,1,"3,102,550","3,252,550"
National Center for Culture,1,"3,073,392","20,052,958"
RB,1,"3,073,392","20,052,958"
TMT Diagnostyka,1,"3,073,392","20,052,958"
Society for Arts Chicago,1,"3,073,392","20,052,958"
Mazowiecki Film Fund,1,"3,073,392","20,052,958"
Society Films,1,"3,073,392","20,052,958"
Fun Academy Motion Pictures,1,"3,054,285","3,823,620"
Trans Pacific Films,1,"3,042,892","3,042,892"
Showtime Network,1,"3,041,803","5,149,131"
Glasgow Film Fund,1,"3,041,803","5,149,131"
Three Rivers Productions,1,"3,041,803","5,149,131"
Progress Film Distribution,1,"3,041,803","5,149,131"
Scottish Arts Council,1,"3,041,803","5,149,131"
Edition Video,1,"3,030,848","21,817,298"
Lisa Erspamer Entertainment,1,"3,026,558","4,703,709"
141 Entertainment,1,"3,021,133","3,271,468"
David Kirschner Productions,1,"3,005,605","35,891,257"
Modern Man Films,1,"3,002,883","3,114,343"
Kilburn Media,1,"3,002,883","3,114,343"
42/Fire Axe Pictures,1,"3,000,342","12,905,107"
Ardican Films,1,"2,984,777","3,077,355"
FilmHaven Entertainment,1,"2,981,038","5,438,911"
MayBach Cunningham,1,"2,981,038","5,438,911"
ECABA,1,"2,971,116","6,282,801"
Lucky Man Films,1,"2,963,630","5,264,706"
Silver A,1,"2,963,630","5,264,706"
Wall to Wall Media,1,"2,962,242","5,617,067"
BCL Finance Group,1,"2,949,212","2,961,687"
The UK Film & TV Production Company PLC,1,"2,912,606","11,537,539"
The Industrial Development Corporation of South Africa,1,"2,912,606","11,537,539"
The National Film and Video Foundation of SA,1,"2,912,606","11,537,539"
Moviworld,1,"2,912,606","11,537,539"
Hero Productions,1,"2,859,955","2,859,955"
Possibility Pictures,1,"2,848,587","3,237,452"
DNP Studios,1,"2,848,587","3,237,452"
Vertical Innovations,1,"2,848,587","3,237,452"
Great Basin Entertainment,1,"2,846,258","2,848,234"
Big Stone Pictures,1,"2,830,989","133,450,917"
City of Peace Films,1,"2,827,666","2,827,666"
The Identical Production Company,1,"2,827,666","2,827,666"
FluffyShop,1,"2,827,393","2,827,393"
ArsonHouse Productions,1,"2,827,393","2,827,393"
Levity Entertainment Group,1,"2,827,393","2,827,393"
Hudsucker Pictures,1,"2,816,518","14,938,149"
Hero 4 Baby,1,"2,778,297","2,778,297"
CAMFAM,1,"2,778,297","2,778,297"
Silvatar Media,1,"2,756,333","15,031,294"
National Theatre,1,"2,730,296","13,447,998"
Reel Life Production,1,"2,684,911","5,254,378"
Richard III Limited,1,"2,684,904","4,199,334"
Dreams Salon Entertainment Culture,1,"2,679,437","157,300,954"
Starbright Communications Limited,1,"2,679,437","157,300,954"
Mark Magidson,1,"2,672,413","5,966,671"
Magidson Films,1,"2,672,413","5,966,671"
Little Room,1,"2,668,936","4,334,216"
DASF Films,1,"2,666,118","4,647,606"
Joe Abrams Productions,1,"2,656,784","20,537,741"
UV Creations,1,"2,626,284","3,717,910"
P.T. Merantau Films,1,"2,625,803","2,625,803"
Yellowsaw Productions Limited,1,"2,610,896","5,117,098"
"Miles Davis Properties, LLC",1,"2,610,896","5,117,098"
Oriole Leafe Films,1,"2,609,412","4,580,534"
Dilettante,1,"2,609,412","4,580,534"
Televisa Films,1,"2,609,412","4,580,534"
Latitute Entertainment,1,"2,609,412","4,580,534"
David M. Matthews Film,1,"2,595,644","2,595,644"
Brightside Entertainment,1,"2,583,301","2,791,973"
Weaver/Pellegrini Productions,1,"2,552,478","2,790,035"
City Room Media,1,"2,552,478","2,790,035"
SPI Film Studio,1,"2,546,747","38,112,154"
Zanagar Films,1,"2,546,747","38,112,154"
JWFilms,1,"2,523,610","10,891,281"
Marcel Dassault,1,"2,522,881","2,522,881"
Societe Francaise de Production Cinematographique,1,"2,522,881","2,522,881"
Coram Deo Studios,1,"2,507,159","2,507,159"
Birchwood Pictures,1,"2,507,159","2,507,159"
Videa,1,"2,483,472","7,023,292"
First Sun,1,"2,483,472","7,023,292"
Quat'Sous Films,1,"2,450,504","22,914,479"
Javelina Film Co.,1,"2,429,989","8,217,571"
Peter Brant,1,"2,429,989","8,217,571"
Studio Ponoc,1,"2,418,404","41,974,462"
Pegasus Pictures,1,"2,409,826","3,778,826"
Black Canopy Films,1,"2,409,826","3,778,826"
Dror Moreh Productions,1,"2,408,553","2,592,308"
Le Premier Poisson,1,"2,408,553","2,592,308"
Wild Heart Productions,1,"2,408,553","2,592,308"
Romar/Boll KG Productions,1,"2,405,420","3,711,633"
Grace Hill Media,1,"2,394,725","2,678,525"
Media Weaver Entertainment,1,"2,394,725","2,678,525"
Reverence Gospel Media,1,"2,387,730","2,503,392"
Little Monster Films,1,"2,334,228","2,350,820"
Itinerant Media,1,"2,334,228","2,350,820"
Studio Trigger,1,"2,313,595","9,474,860"
XFLAG,1,"2,313,595","9,474,860"
Haarika and Hassine Creations,1,"2,313,043","2,313,043"
Vertical Church Films,1,"2,303,792","2,303,792"
Power in Faith,1,"2,303,792","2,303,792"
Autobahn Film Gmbh,1,"2,280,004","5,466,698"
HRX Films,1,"2,269,878","2,726,394"
Bedrocket Entertainment,1,"2,266,066","2,266,066"
Official Comedy,1,"2,266,066","2,266,066"
Anthem Productions,1,"2,246,000","2,246,000"
Anthem Ventures,1,"2,246,000","2,246,000"
The Cartel,1,"2,235,162","3,634,435"
Cine B,1,"2,231,474","8,609,949"
Smilla Film,1,"2,221,994","2,221,994"
Lithuanian Film Studios,1,"2,203,641","6,379,575"
SB Projects,1,"2,184,640","2,368,937"
Latitude Productions,1,"2,171,257","3,345,795"
Shri Adhikari Bros,1,"2,167,632","16,688,123"
Embassy Home Entertainment,1,"2,167,291","2,191,785"
Zenith Entertainment,1,"2,167,291","2,191,785"
Initial Pictures,1,"2,167,291","2,191,785"
Argos Films,1,"2,164,507","2,189,094"
Inkjet,1,"2,141,423","10,727,536"
Greenwich Film Production,1,"2,132,974","2,167,844"
Herald Ace Inc.,1,"2,132,974","2,167,844"
Redpeter Film,1,"2,129,768","98,458,103"
Tomcat Films,1,"2,110,050","2,110,050"
Digiodreams Studios,1,"2,110,050","2,110,050"
John Marshall,1,"2,110,050","2,110,050"
Visible Pictures,1,"2,082,980","2,082,980"
Bergman Lustig Productions,1,"2,075,743","4,243,996"
Our Turn Productions,1,"2,073,582","2,354,875"
R.P. Productions,1,"2,070,920","26,670,920"
ETIC Films,1,"2,070,920","26,670,920"
Holst Films,1,"2,053,931","2,053,931"
MCG,1,"2,039,869","2,272,186"
Olive Branch,1,"2,039,869","2,272,186"
Rosto Inc,1,"2,031,242","2,266,853"
Arbie Productions,1,"2,030,962","3,455,221"
Story Island Entertainment,1,"2,026,756","3,377,778"
Artisan Entertainment,1,"2,025,238","2,522,928"
Program Sensi Contemporanei Cinema,1,"2,024,099","5,759,963"
Motion Picture Lighting,1,"2,022,115","24,041,617"
Film Art Media,1,"2,022,115","24,041,617"
Muchas Gracias,1,"2,019,554","3,730,476"
Victor Music Industries,1,"2,015,000","2,022,893"
Altona Filmhaus,1,"2,010,613","2,268,375"
New Tropics,1,"2,010,613","2,268,375"
Celestes Images,1,"2,008,385","8,505,755"
Decia Films,1,"2,008,385","8,505,755"
Centro Televisivo Vaticano,1,"2,008,385","8,505,755"
Solares Fondazione delle Arti,1,"2,008,385","8,505,755"
The Palindrome,1,"2,008,385","8,505,755"
PTS Art’s Factory,1,"2,008,385","8,505,755"
Fondazione Solares Suisse,1,"2,008,385","8,505,755"
Korea Post,1,"2,006,788","38,571,040"
Hyundai Marine & Fire Insurance,1,"2,006,788","38,571,040"
Idea Bridge Asset Management,1,"2,006,788","38,571,040"
SolaireInvestments,1,"2,006,788","38,571,040"
KDB Bank,1,"2,006,788","38,571,040"
Interpark Corporation,1,"2,006,788","38,571,040"
Meritz Insurance,1,"2,006,788","38,571,040"
Shinhan Life Insurance Co,1,"2,006,788","38,571,040"
Pan Entertainment,1,"2,006,788","38,571,040"
Esperanto Kino,1,"2,002,036","4,940,419"
Greater Productions LLC,1,"2,000,093","2,000,093"
Hammond Entertainment LLC,1,"2,000,093","2,000,093"
Firsttake Entertainment,1,"1,986,209","1,986,209"
We're Not Brothers,1,"1,951,776","2,255,399"
Goodfellas Pictures,1,"1,921,657","229,498,425"
Fat Kids Productions,1,"1,921,657","229,498,425"
Skoche Films,1,"1,914,090","1,914,090"
Motion Picture Pro Studios,1,"1,914,090","1,914,090"
"Caper Film, Inc.",1,"1,904,682","96,934,299"
Surefire Films,1,"1,903,434","5,313,608"
Jackie O Productions,1,"1,903,434","5,313,608"
Rose & Asseyev,1,"1,900,000","1,900,000"
Quaker Media,1,"1,891,936","1,891,936"
Snow Wolf,1,"1,876,685","2,817,895"
Gibson & MacLeod,1,"1,865,396","4,131,519"
Peck Entertainment,1,"1,832,541","1,832,541"
MG Entertainment,1,"1,829,804","1,829,804"
TV3 Ireland,1,"1,829,142","25,670,174"
MSM Motion Pictures,1,"1,801,806","2,475,020"
Saraswati Entertainment,1,"1,801,806","2,475,020"
Good Film Productions,1,"1,785,505","11,263,263"
Soficinema 2,1,"1,785,505","11,263,263"
Soficinema 3,1,"1,785,505","11,263,263"
Hammer & Tongs,1,"1,785,505","11,263,263"
Wondros,1,"1,779,620","4,429,210"
Claims Conference,1,"1,777,043","9,696,537"
McLaughlin Films,1,"1,759,252","1,884,251"
Lime Orchard Productions,1,"1,759,252","1,884,251"
Vietnam Films,1,"1,741,889","4,585,393"
Equipment Film & Design,1,"1,741,889","4,585,393"
Azucar Films,1,"1,741,889","4,585,393"
Oxido Picture,1,"1,741,889","4,585,393"
Animal De Luz Films,1,"1,741,889","4,585,393"
Footprint Investments,1,"1,738,692","10,765,283"
Rockinghorse Films,1,"1,738,692","10,765,283"
Gasworks Media,1,"1,735,251","7,299,662"
Aceway,1,"1,730,597","4,258,799"
Grove Hill Productions,1,"1,728,953","4,972,016"
REI Capital,1,"1,728,953","4,972,016"
Strange Matter Films,1,"1,728,953","4,972,016"
Geechee Girls,1,"1,701,575","1,707,874"
Coolmore Productions,1,"1,698,952","11,210,717"
Edgeline Films,1,"1,675,196","1,751,120"
Penn & Teller,1,"1,670,806","1,724,484"
Khaled Mouzanar,1,"1,660,708","65,813,793"
Mooz Films,1,"1,660,708","65,813,793"
Zenith Productions,1,"1,654,743","1,672,572"
Civilhand,1,"1,654,743","1,672,572"
British Screen,1,"1,654,743","1,672,572"
CinemaWest,1,"1,647,416","1,647,416"
Riead Productions Corporation,1,"1,647,416","1,647,416"
Menithings Productions,1,"1,647,083","6,387,498"
Big Book Media,1,"1,632,000","1,933,829"
Enchanter Entertainment,1,"1,626,593","1,626,593"
Azure Films,1,"1,619,466","18,114,037"
Tusk Productions,1,"1,619,466","18,114,037"
Broad Street Pictures,1,"1,605,463","1,672,151"
MISR International Films,1,"1,603,616","1,861,359"
Ideaman Studios,1,"1,594,798","2,769,782"
Scared Sheetless,1,"1,594,798","2,769,782"
Zero Trans Fat Productions,1,"1,594,798","2,769,782"
Saarlandischer Rundfunk,1,"1,588,150","10,344,828"
Telecable,1,"1,588,150","10,344,828"
Diagonal TV,1,"1,588,150","10,344,828"
Department de cultura de la Generalitat de Catalunya,1,"1,588,150","10,344,828"
Natixis Coficine,1,"1,588,150","10,344,828"
Creasgr,1,"1,588,150","10,344,828"
Bling Unplugged,1,"1,585,687","17,485,687"
Boxspring Entertainment,1,"1,585,362","1,908,425"
Cambridge Pictures Co.,1,"1,580,223","10,281,515"
Kep Entertainment,1,"1,579,440","1,579,440"
Crazy Films,1,"1,574,881","2,435,284"
Moving Art,1,"1,573,734","1,633,250"
Margaritz Productions,1,"1,573,276","2,791,985"
Fortysixty,1,"1,573,276","2,791,985"
Concept Entertainment,1,"1,561,577","8,038,792"
Tenaja,1,"1,559,556","1,559,556"
Monarch Pictures,1,"1,559,556","1,559,556"
Monkey Hill Films,1,"1,559,556","1,559,556"
"Number 1 Films, LLC",1,"1,557,494","1,557,494"
"Indieproduction, LLC",1,"1,557,494","1,557,494"
"One Media, LLC",1,"1,557,494","1,557,494"
Familystyle,1,"1,533,324","3,703,064"
Ferocious Attack Cow,1,"1,532,594","20,289,666"
Filmmek,1,"1,530,386","14,851,654"
"Girlfight, Inc.",1,"1,523,941","1,523,941"
Henrik Bergesen,1,"1,517,410","21,572,102"
Aircontactgruppen,1,"1,517,410","21,572,102"
Solbakken,1,"1,517,410","21,572,102"
Roenbergfilm,1,"1,517,410","21,572,102"
Motion Blur,1,"1,517,410","21,572,102"
Self-Realization Fellowship,1,"1,511,750","2,083,186"
First Thought Films,1,"1,510,026","2,254,254"
Ravine Pictures,1,"1,509,131","3,596,550"
Minorodningen Alamode Filmverleih,1,"1,502,347","8,758,343"
Coproduction Office,1,"1,502,347","8,758,343"
Radiate Films,1,"1,499,605","1,499,605"
Missing Link Films,1,"1,478,960","11,301,232"
North West Vision,1,"1,445,366","7,785,229"
Island Bound Productions,1,"1,430,241","1,989,035"
Tuff Going Productions,1,"1,413,480","5,319,734"
Noruz Films,1,"1,411,927","1,989,627"
Lemon Films,1,"1,400,726","9,330,465"
Via Media,1,"1,400,726","9,330,465"
Base Industries Group,1,"1,388,365","2,010,478"
Paulist Productions,1,"1,379,497","1,462,977"
Main Dog Productions,1,"1,379,497","1,462,977"
10th Hole Productions,1,"1,378,591","2,571,741"
Gambit Films,1,"1,378,591","2,571,741"
Toscana Film Commission,1,"1,373,975","5,455,736"
Programme Media de la Communaute Europeenne,1,"1,373,975","5,455,736"
Soficinema 5,1,"1,373,975","5,455,736"
Patrick Quinet,1,"1,373,975","5,455,736"
Regione Toscana,1,"1,373,975","5,455,736"
Strange Cavern,1,"1,361,611","1,481,211"
Section Perspective,1,"1,361,611","1,481,211"
FIP Malta,1,"1,361,512","5,965,646"
Tulchin Enterainmnet,1,"1,361,512","5,965,646"
Foreign Media,1,"1,361,512","5,965,646"
Corrino,1,"1,361,512","5,965,646"
Film Finance VI,1,"1,361,512","5,965,646"
Staccato,1,"1,361,512","5,965,646"
Desert Wolf Productions,1,"1,361,045","7,265,283"
MGC,1,"1,361,045","7,265,283"
Ronald Krauss,1,"1,359,910","1,359,910"
Office ApS,1,"1,359,497","3,841,715"
Fine Line Features,1,"1,353,824","1,353,824"
Cine Boutique Entertainment,1,"1,350,230","2,992,880"
Aron Govil Productions,1,"1,350,230","2,992,880"
Remember Films,1,"1,348,630","1,348,630"
IDG China Creative Media Limited,1,"1,348,205","11,348,205"
Big Feet Productions,1,"1,348,205","11,348,205"
Amazonas Images,1,"1,343,349","14,543,275"
Solares delle arti,1,"1,343,349","14,543,275"
Les Amis de la Maison Europeenne de la Photographie,1,"1,343,349","14,543,275"
R?o Negro,1,"1,339,911","1,339,911"
Barracuda Films,1,"1,339,911","1,339,911"
SPE Films India,1,"1,339,909","16,765,212"
Nicolas Winding Refn,1,"1,333,124","3,559,803"
CNACC,1,"1,329,249","4,787,818"
Caracol Television,1,"1,329,249","4,787,818"
Norte Sur,1,"1,329,249","4,787,818"
MC Producciones,1,"1,329,249","4,787,818"
Dago Garcia,1,"1,329,249","4,787,818"
Rick Eldridge,1,"1,327,841","1,327,841"
CED Productions,1,"1,324,974","1,338,215"
Double Play Production,1,"1,312,473","1,312,473"
German Detail Film,1,"1,305,195","3,804,977"
Czech Sirena Film,1,"1,305,195","3,804,977"
Nelvana-Ellipse,1,"1,305,187","1,305,187"
Clifford Ross Company,1,"1,305,187","1,305,187"
Pergamon Film,1,"1,303,747","5,172,776"
Joy Leader,1,"1,302,281","237,273,381"
Beijing Jinglin Saisi Culture Broadcast Company,1,"1,302,281","237,273,381"
Tartan Films,1,"1,294,640","8,200,127"
Ana Media,1,"1,291,645","4,659,110"
Madison McQueen,1,"1,291,514","1,291,514"
MJM Entertainment Group,1,"1,291,514","1,291,514"
Dangerous Documentaries,1,"1,291,514","1,291,514"
New Classics Pictures,1,"1,289,195","211,759,747"
Beijing Fun Age Pictures,1,"1,289,195","211,759,747"
Beijing Mahua Funage Company,1,"1,289,195","211,759,747"
Crab Apple Films,1,"1,270,847","4,377,258"
Unbeldi Production,1,"1,264,409","2,795,383"
Elephant Doc,1,"1,264,409","2,795,383"
Petit Dragon,1,"1,264,409","2,795,383"
Time Based Arts,1,"1,257,275","2,652,132"
Misfits Entertainment,1,"1,257,275","2,652,132"
AdScott,1,"1,251,749","1,386,088"
BoBo Producciones,1,"1,249,233","7,738,470"
Credix,1,"1,249,233","7,738,470"
Joel B. Michaels,1,"1,246,141","1,246,141"
Garth H. Drabinsky,1,"1,246,141","1,246,141"
Joe's Daughter,1,"1,239,692","4,863,332"
Burns Family Studios,1,"1,236,094","1,236,094"
Useful Productions,1,"1,220,807","2,081,809"
Sofica Hoche Artois Images,1,"1,220,807","2,081,809"
Rapsodie Productions,1,"1,220,807","2,081,809"
Big Film Factory,1,"1,209,645","1,243,263"
TKBC,1,"1,199,066","3,017,698"
Rooster Teeth,1,"1,186,426","1,405,548"
Fullscreen Films,1,"1,186,426","1,405,548"
YouTube Red,1,"1,186,426","1,405,548"
Cinematic,1,"1,169,603","1,169,603"
The Silk Road Project,1,"1,169,214","1,593,768"
Autism Media Channel,1,"1,163,265","1,215,647"
Del Bigtree,1,"1,163,265","1,215,647"
Swarovski Entertainment,1,"1,162,635","1,223,530"
SVS Inc,1,"1,161,135","1,161,135"
Godspeed Pictures,1,"1,156,000","1,166,052"
